available_percent,available_filter,deep_cursor,arm,block,median_ms,sample_min_ms,sample_max_ms,vm_steps,fullscan_steps,sorts,autoindex_rows,reprepare,cache_hits,cache_misses,temp_spill_bytes,prepare_observation_ms,physical_read_bytes_12_samples,read_syscalls_12_samples,cache_bytes,censored
0%,true,false,store,1,72.865414,71.808656,77.86490599999999,4000019,199999,0,0,1,598455,3359,0,0.141419,0,40368,2102784,false
0%,true,false,control,1,72.824904,71.263383,80.629865,4000019,199999,0,0,1,598455,3359,0,0.129099,0,40368,2102784,false
0%,true,false,before,1,74.026205,72.376109,78.113303,4000019,199999,0,0,1,598455,3359,0,0.118708,0,40368,2102784,false
0%,true,false,public,1,73.102461,71.990613,79.05443,,,,,,,,,,0,40368,,false
0%,true,false,public,2,72.993467,71.09588,81.095445,,,,,,,,,,0,40368,,false
0%,true,false,before,2,71.206433,70.07812700000001,73.384302,4000019,199999,0,0,1,598455,3359,0,0.125698,0,40368,2102784,false
0%,true,false,control,2,72.370659,70.74898,78.20548,4000019,199999,0,0,1,598455,3359,0,0.120589,0,40368,2102784,false
0%,true,false,store,2,72.089395,71.19623299999999,74.89349100000001,4000019,199999,0,0,1,598455,3359,0,0.119639,0,40368,2102784,false
0%,true,true,store,1,45.349286,44.315174,47.213279,3000021,199999,0,0,1,299031,2783,0,0.087389,0,33456,2102784,false
0%,true,true,control,1,46.301285,44.56861,53.098185,3000021,199999,0,0,1,299031,2783,0,0.086099,0,33456,2102784,false
0%,true,true,before,1,45.038595,44.366503,50.820195999999996,3000021,199999,0,0,1,299031,2783,0,0.119098,0,33456,2102784,false
0%,true,true,public,1,49.010098,47.656478,53.943579,,,,,,,,,,0,33456,,false
0%,true,true,public,2,48.386219,47.09944,49.788768,,,,,,,,,,0,33456,,false
0%,true,true,before,2,45.123193,44.342863,47.852696,3000021,199999,0,0,1,299031,2783,0,0.110829,0,33456,2102784,false
0%,true,true,control,2,47.149550,45.154702,55.011235,3000021,199999,0,0,1,299031,2783,0,0.117928,0,33456,2102784,false
0%,true,true,store,2,46.641146,44.843526000000004,51.630866,3000021,199999,0,0,1,299031,2783,0,0.163548,0,33456,2102784,false
0%,false,false,store,1,0.186658,0.148369,0.254027,2118,49,0,0,1,312,0,0,0.044220,0,60,96512,false
0%,false,false,control,1,0.151488,0.146998,0.183938,2118,49,0,0,1,312,0,0,0.042550,0,60,96512,false
0%,false,false,before,1,0.149398,0.145128,0.171238,2118,49,0,0,1,312,0,0,0.044640,0,60,96512,false
0%,false,false,public,1,0.151098,0.145148,0.201588,,,,,,,,,,0,60,,false
0%,false,false,public,2,0.149699,0.146259,0.281622,,,,,,,,,,0,60,,false
0%,false,false,before,2,0.168748,0.149868,0.206238,2118,49,0,0,1,312,0,0,0.089009,0,60,96512,false
0%,false,false,control,2,0.169348,0.147998,0.210878,2118,49,0,0,1,312,0,0,0.042920,0,60,96512,false
0%,false,false,store,2,0.165598,0.146298,0.200437,2118,49,0,0,1,312,0,0,0.042559,0,60,96512,false
0%,false,true,store,1,7.529000,7.2818830000000005,7.9816139999999995,802220,100049,0,0,1,297,1106,0,0.100999,0,13332,2102784,false
0%,false,true,control,1,7.672439,7.2599730000000005,7.906026,802220,100049,0,0,1,297,1106,0,0.064139,0,13332,2102784,false
0%,false,true,before,1,7.393404,7.266693,7.760037,802220,100049,0,0,1,297,1106,0,0.075319,0,13332,2102784,false
0%,false,true,public,1,7.582479,7.328873,8.299262,,,,,,,,,,0,13332,,false
0%,false,true,public,2,7.464665,7.319913,8.024984,,,,,,,,,,0,13332,,false
